ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
viêm tuyến nước bọt,"dấu hiệu viêm tuyến nước bọt thường thấy bao gồm: tuyến nước bọt mang tai hoặc dưới hàm hai bên: viêm sưng các tuyến này có thể gây biến dạng mặt như mặt phình to, cổ bạnh và cằm xệ. da vùng tuyến mang tai: có thể căng cứng, bóng nhưng thường không đỏ, sờ nóng đau; nếu viêm tuyến nước bọt do virus thì khi ấn vào không thấy lõm; nếu viêm do vi khuẩn thì đỏ da và ấn vào có thể lõm nước bọt: giảm, ít và quánh. lỗ ống stenon: nếu viêm do vi khuẩn, lỗ ống stenon sẽ thấy viêm đỏ hoặc và có mủ chảy ra khi vuốt dọc ống tuyến. góc hàm: sưng to do tuyến nước bọt mang tai dưới hàm hoặc do hạch to biểu hiện viêm tuyến nước bọt khác: đau họng, há miệng hoặc bị đau hàm; khi nuốt đau lan ra tai; sốt ớn lạnh kèm đau đầu; mệt mỏi; hôi miệng. trường hợp nếu nhiễm trùng tuyến nước bọt do khối u sẽ cảm thấy u cục, cứng khu vực bị viêm. bác sĩ thuý hằng khuyên, người bệnh nên đến bệnh viện ngay khi tình trạng viêm bắt đầu gây khó khăn cho việc ăn uống, nuốt hoặc thở gây đau nhiều, các triệu chứng không thuyên giảm mặc dù đã ngậm nước muối, vệ sinh răng miệng và điều trị tại nhà.","đau hàm
căng cứng
viêm đỏ hoặc và có mủ
sưng to do tuyến nước bọt
chảy ra khi vuốt dọc ống
mệt mỏi
sốt
u cục
viêm tuyến nước bọt khác
cứng khu vực bị viêm
viêm tuyến nước bọt thường thấy
ớn lạnh
viêm do vi khuẩn
nhiễm trùng tuyến nước bọt
hạch to biểu hiện viêm tuyến
viêm sưng các tuyến này có
phình to
đau lan ra tai
viêm do virus
viêm tuyến nước bọt do virus",Không có,không có,K11.2,Viêm tuyến nước bọt,1.0
viêm tuyến tiền liệt,"triệu chứng viêm tuyến tiền liệt khác nhau tùy theo tình trạng bệnh, nguyên nhân gây viêm. nhìn chung, khi bị viêm tuyến tiền liệt ở nam giới, người bệnh sẽ có các dấu hiệu: đau rát khi đi tiểu tiểu khó, tiểu nhỏ giọt, tiểu ngập ngừng tiểu nhiều, tiểu đêm cảm giác muốn đi tiểu liên tục nước tiểu đục và hoặc có máu đau bụng, đau bẹn, đau lưng dưới đau khu vực đáy chậu như ở giữa bìu, trực tràng đau dương vật, tinh hoàn đau khi xuất tinh đau nhức cơ, ớn lạnh, sốt","đau bẹn
đau khi xuất tinh
đau nhức cơ
tiểu liên tục
xuất tinh đau nhức cơ
đau rát khi đi tiểu
tiểu khó
tiểu nhỏ giọt
tiểu ngập ngừng
tiểu nhiều
tiểu đêm cảm giác muốn đi
đau dương vật
đau bụng
đau lưng dưới
đau khu vực đáy chậu
sốt
ớn lạnh",Không có,không có,N41.8,Bệnh viêm khác của tuyến tiền liệt,0.8374
viêm tuyến vú,"các dấu hiệu và triệu chứng của bệnh viêm tuyến vú có thể xuất hiện đột ngột, bao gồm : mô vú dày lên hoặc có khối u ở vú vú sưng tấy lên sờ vào vú cảm thấy ấm, nóng một mảng đỏ da, thường có dạng hình nêm cảm giác đau hoặc nóng rát xuất hiện liên tục hoặc khi cho con bú sốt từ 38,5 độ c","mô vú dày lên
khối u ở vú
vú sưng tấy
mảng da đỏ
cảm giác đau hoặc nóng rát
sốt",Không có,"đột ngột, liên tục",K11.2,Viêm tuyến nước bọt,0.5975
viêm võng mạc sắc tố,"các dấu hiệu và triệu chứng ban đầu của bệnh viêm võng mạc sắc tố bao gồm: người bệnh có vấn đề về thị lực trong điều kiện ánh sáng yếu hoặc vào ban đêm, khó di chuyển và cảm giác ánh sáng lấp lánh không rõ (triệu chứng quáng gà) xuất hiện điểm mù ở tầm nhìn ngoại vi, tầm nhìn hẹp chỉ nhìn thấy ánh sáng trung tâm 4 nhạy cảm với luồng ánh sáng mạnh (sợ ánh sáng) mất khả năng nhìn thấy màu sắc một số trường hợp thị lực rất kém",mất khả năng nhìn thấy màu,khó di chuyển,không có,H30,Viêm hắc võng mạc,0.7941
viêm xoang,"các dấu hiệu và triệu chứng viêm xoang cấp và mãn tính tính tương tự nhau, vì thế rất dễ gây nhầm lẫn. các biểu hiện bao gồm: đau ở xoang đau là triệu chứng đặc thù của viêm xoang. cơn đau có thể xuất hiện ở trán, hai bên mũi, hàm trên hoặc giữa hai mắt. đôi lúc, những cơn đau đầu sẽ xuất hiện nhưng chỉ thoáng qua. chảy nước mũi tình trạng nhiễm trùng xoang sẽ gây ra rất nhiều dịch tiết. chất dịch xuất phát từ xoang bị nhiễm trùng đôi khi có màu xanh, vàng hay trắng đục sẽ chảy vào mũi, gây ra tình trạng sổ mũi. tuy nhiên, trong nhiều trường hợp, chất dịch không chảy vào mũi mà xuống phía sau cổ họng, gây ngứa ngáy hoặc đau họng. hệ quả là những cơn ho kéo đến vào ban đêm khi bạn nằm ngủ và buổi sáng sau khi thức dậy. giọng nói cũng trở nên khàn hơn. nghẹt mũi nhiễm trùng gây phù nề vùng xoang và mũi, cản trở đường mũi thở dẫn đến nghẹt mũi. vì thế, khứu giác sẽ kém nhạy cảm hơn so với người bình thường. đau đầu liên tục phải chịu áp lực cùng với tình trạng sưng trong xoang là nguyên nhân gây ra những cơn đau đầu. tình trạng đau nặng nề hơn vào buổi sáng do chất lỏng đã có cả một đêm để tích tụ. cơn đau đầu cũng trở nên nghiêm trọng hơn khi ở trong môi trường có áp suất khí quyển thay đổi đột ngột (đi máy bay). họng bị kích ứng và gây ho dịch tiết ra từ xoang rồi chảy xuống sau cổ họng là lý do gây ra những cơn ho dai dẳng, nhất là vào buổi sáng sau khi ngủ dậy. không chỉ gây ho, khi cổ họng bị kích ứng cũng khiến người bệnh khó ngủ. khi ấy, nằm ngủ ở tư thế ngửa hoặc kê cao gối sẽ giúp giảm tần suất và mức độ ho. (3) ngoài những dấu hiệu trên, bệnh nhân bị viêm xoang còn gặp phải các triệu chứng như: sốt đau tai đau răng sưng vùng mặt hôi miệng mệt mỏi","viêm xoang cấp và mãn tính
đau có thể xuất hiện ở
ho
phù nề vùng xoang và mũi
nhiễm trùng gây phù nề vùng
nhiễm trùng đôi khi có màu
giảm tần suất và mức độ
mệt mỏi
đau đầu
sưng vùng mặt hôi miệng mệt
khó ngủ
nghẹt mũi
sốt
đau tai đau răng sưng vùng
đau đầu liên tục
đau đầu đột ngột
thức
ban đêm
sau khi ngủ
đôi khi",Không có,không có,J34,Bệnh khác của mũi và xoang,0.6425
viêm xoang bướm,"các dấu hiệu viêm xoang bướm rất đa dạng, tương tự như các triệu chứng của nhiễm trùng xoang điển hình. tuy nhiên, các triệu chứng được báo cáo thường gặp của bệnh nhân viêm xoang bướm đó là. 1. đau đầu bệnh viêm xoang bướm thường biểu hiện với những cơn đau đầu không điển hình có cường độ và vị trí khác nhau. đặc biệt, người bệnh không đáp ứng với thuốc giảm đau và đau trầm trọng hơn khi cử động đầu. đau đầu có thể nằm ở vùng đỉnh, trán, thái dương, quanh hốc mắt và vùng chẩm. phổ biến nhất là đau đầu ở vùng sau ổ mắt và vùng chẩm chiếm 72 . những vị trí khác nhau này là do sự chi phối cảm giác của xoang bướm, được chi phối bởi dây thần kinh sinh ba và các sợi hướng tâm từ hạch sphenopalatine. 2. rối loạn thị giác các rối loạn thị giác tại chỗ như nhìn đôi, mất thị lực một bên tiến triển và giảm thị trường ở bên tổn thương. các triệu chứng nhãn khoa chiếm khoảng 21 bệnh nhân bị viêm xoang bướm đơn độc. 3. viêm mũi các biểu hiện về mũi của bệnh bao gồm chảy nước mũi sau và chảy máu mũi. 4. đau tai đau tai, buồn ngủ đến các triệu chứng giống viêm màng não cũng có thể xuất hiện. tuy vậy, viêm xoang bướm có thể hoàn toàn không có triệu chứng cho đến khi xuất hiện các biến chứng.","đau đầu không điển hình
đau đầu ở vùng sau ổ
đau đầu ở vùng chẩm
đau đầu ở vùng đỉnh
đau đầu ở vùng trán
đau đầu ở vùng thái dương
đau tai
buồn ngủ
chảy nước mũi sau
chảy máu mũi
rối loạn thị giác tại chỗ
chảy nước mũi sau và chảy
viêm mũi",Không có,không có,J01.3,Viêm xoang bướm cấp,0.7097
viêm xoang mũi dị ứng,"các triệu chứng của bệnh viêm mũi xoang dị ứng có thể diễn ra trong khoảng thời gian ngắn. bệnh cũng có thể hoặc kéo dài vài ngày đến cả tuần, sau đó tự biến mất. viêm mũi xoang dị ứng mặc dù không đặc biệt nghiêm trọng, nhưng nếu các triệu chứng của bệnh kéo dài sẽ gây ra sự mệt mỏi, khó chịu, suy giảm miễn dịch, ảnh hưởng đến sinh hoạt, giấc ngủ và học tập.(2) các triệu chứng của viêm mũi xoang dị ứng thường bao gồm: ngứa mũi; hắt xì liên tục; chảy nước mũi trong; khạc đờm trong; nghẹt mũi; có thể kèm theo ngứa mắt, chảy nước mắt, ngứa họng và ho. khi bệnh diễn tiến tới viêm xoang, có thể kèm triệu chứng nhức đầu, mặt và giảm khứu giác. ths.bs.cki hồ văn hữu cho biết, triệu chứng của bệnh viêm mũi dị ứng được chia thành 2 nhóm: 1. triệu chứng bệnh theo chu kỳ các triệu chứng của bệnh thường xuất hiện vào đầu mùa nóng hoặc mùa lạnh. ngứa mũi, ngứa mắt, chảy nước mắt, đỏ mắt, hắt hơi liên tục, chảy nhiều nước mũi và dịch nhầy trong là các triệu chứng thường thấy.. ngoài ra, các triệu chứng khác người bệnh cũng có thể gặp phải như bỏng rát ở kết mạc, vòm họng, cảm giác uể oải, mệt mỏi và nặng đầu. các triệu chứng có thể kéo dài từ vài ngày đến một tuần rồi khỏi. đặc biệt, cứ đúng vào thời gian đó thì bệnh lại tái phát, bệnh có thể kéo dài trong nhiều năm gây thoái hóa, phù nề niêm mạc mũi, phì đại cuốn mũi, nghẹt mũi 2. triệu chứng bệnh không theo chu kỳ đây là tình trạng thường gặp nhất với các biểu hiện như sổ mũi, hắt hơi, chảy mũi khi vừa thức dậy vào buổi sáng, giảm dần trong ngày nhưng lại tái phát khi tiếp xúc với bụi hay môi trường lạnh. ban đầu nước mũi trong suốt nhưng càng về sau thì càng đặc lại, chảy thành từng đợt. triệu chứng nặng hơn, người bệnh có thể bị hắt hơi liên tục trong nhiều giờ liền, dẫn đến tình trạng tiết dịch và dịch ứ đọng trong vòm họng. điều này dẫn đến việc người bệnh thường xuyên phải khạc nhổ, dẫn đến tổn thương niêm mạc mũi họng. ngoài ra, tình trạng tiết và ứ dịch mũi xoang cũng dẫn đến nghẹt mũi, khiến người bệnh thường xuyên phải thở bằng miệng nên bị viêm họng hoặc viêm thanh quản. những đợt viêm mũi xoang dị ứng tái phát nhiều lần hoặc kéo dài có thể dẫn đến niêm mạc mũi phì đại, thoái hóa hình thành polyp mũi, làm bệnh nhân xuất hiện nghẹt mũi ngay cả khi không đang có tình trạng dị ứng mũi , ths.bs.cki hồ văn hữu nói thêm.","ngứa mũi
hắt xì liên tục
nghẹt mũi
ngứa mắt
chảy nước mắt
ho
mệt mỏi
uể oải
cảm giác uể oải
bỏng rát ở kết mạc
sổ mũi
hắt hơi liên tục
chảy nhiều nước mũi và dịch
chảy thành từng đợt
nhức đầu
mặt
giảm khứu giác
khạc nhổ
hắt hơi
chảy mũi khi vừa thức dậy
giảm miễn dịch
viêm mũi dị ứng tái phát
thoái hóa niêm mạc mũi
phì đại cuốn mũi
phù nề niêm mạc mũi
polyp mũi",Không có,kéo dài trong nhiều năm,J30.3,Viêm mũi dị ứng khác,0.8046
viêm xoang sàng,"mặc dù các triệu chứng viêm không đặc hiệu cho từng xoang, chúng thường bộc lộ giống nhau. nhưng ít nhất, các triệu chứng chung của bệnh viêm xoang nói chung cũng có thể giúp chẩn đoán viêm xoang ban đầu và loại trừ các bệnh khác. viêm xoang sàng có triệu chứng gì? ths.bs.cki trương tấn phát, khoa tai mũi họng bvđk tâm anh tp.hcm cho biết, các triệu chứng viêm xoang sàng có thể bao gồm: sốt và nhức đầu; đau và nhạy cảm vùng mặt, đặc biệt khi bệnh nhân cúi xuống; nghẹt mũi; chảy dịch mủ mũi sau; đau họng và ho; hôi miệng và đờm trong khạc nhổ; ngoài ra, các triệu chứng đặc trưng khác của viêm xoang sàng như sưng, đỏ hoặc đau mắt. do vị trí của các xoang này gần mắt nên có ảnh hưởng lớn đến vùng mắt. các triệu chứng kéo dài dưới 4 tuần đối với viêm xoang sàng cấp tính và trên 12 tuần đối với viêm xoang sàng mạn tính.","sốt
nhức đầu
đau và nhạy cảm vùng mặt
nghẹt mũi
chảy dịch mủ mũi sau
hôi miệng
khạc nhổ
ho
sưng
đau mắt",Không có,kéo dài dưới 4 tuần đối với viêm xoang sàng cấp tính và trên 12 tuần đối với viêm xoang sàng mạn tính,J01.2,Viêm xoang sàng cấp,0.7332
viêm xoang trán,"theo bác sĩ thuý hằng các dấu hiệu viêm xoang trán cũng tương tự như triệu chứng viêm xoang nói chung, vì vậy rất khó để phân biệt giữa các loại viêm xoang với nhau kể cả khi có biến chứng. các triệu chứng viêm xoang trán thường gặp bao gồm:(2) chảy nước mũi cảm giác nặng hoặc căng tức sau mắt đau đầu mệt mỏi đau họng đau cơ nghẹt mũi giảm khứu giác hôi miệng sốt nhẹ hoặc sốt cao bác sĩ thuý hằng cho biết, mặc dù viêm xoang trán thường có các triệu chứng kể trên nhưng cũng tùy vào nguyên nhân gây bệnh mà triệu chứng có thể khác nhau. chẳng hạn, nếu người bệnh có triệu chứng mệt mỏi, sốt, đau nhức cơ và đau họng, nhiều khả năng đó là dấu hiệu của nhiễm virus hơn là nhiễm vi khuẩn. hoặc nếu triệu chứng kéo dài dưới 10 ngày có thể nguyên nhân gây viêm xoang trán cấp tính là do virus. ngược lại, nếu biểu hiện viêm xoang trán kéo dài trên vài tháng, nguyên nhân viêm xoang trán có thể do lệch vách ngăn mũi hoặc polyp mũi.","viêm xoang trán
chảy nước mũi
cảm giác nặng
căng tức sau mắt
đau đầu
mệt mỏi
đau cơ
nghẹt mũi
giảm khứu giác
hôi miệng
sốt nhẹ
sốt cao",Không có,"kéo dài dưới 10 ngày, kéo dài trên vài tháng",J01.1,Viêm xoang trán cấp,0.8163
viêm xung huyết hang vị dạ dày,"phần lớn là bệnh nhân không có triệu chứng. nếu gặp phải một hoặc nhiều các biểu hiện dưới đây thì có khả năng không nhỏ bạn đang có các triệu chứng viêm xung huyết hang vị. đau rát vùng thượng vị: khi có các vấn đề về dạ dày như viêm xung huyết hang vị dạ dày thì cảm giác đau rát, khó chịu vùng thượng vị là triệu chứng bệnh khá thường gặp. cơn đau thượng vị có thể xuất hiện từng cơn đơn lẻ hoặc kéo dài âm ỉ. ợ hơi ợ chua: nhiều người thường xem nhẹ dấu hiệu này. người bệnh sẽ hay có cảm giác nóng rát hoặc cồn cào trong dạ dày giữa các bữa ăn hoặc vào ban đêm. buồn nôn: có nhiều bệnh lý có triệu chứng buồn nôn, trong đó có viêm xung huyết hang vị. khi niêm mạc hang vị dạ dày bị viêm sẽ cản trở hoạt động tiêu hóa phân giải thức ăn. điều này khiến người bị vấn đề bao tử hay thấy buồn nôn, nôn ói và trào ngược. trong một số trường hợp các triệu chứng như khó tiêu, khó chịu dạ dày chỉ diễn ra trong thời gian ngắn và không cần đến chăm sóc y tế. tuy nhiên bạn cần tới gặp bác sĩ kiểm tra càng sớm càng tốt nếu các biểu hiện này lặp đi lặp lại, kéo dài từ một tuần trở lên. còn nếu bị đau bụng dữ dội, nôn ói ra máu, cơ thể cảm thấy choáng váng chóng mặt nghiêm trọng thì cần tới bệnh viện ngay lập tức.","buồn nôn
khó chịu vùng thượng vị
đau rát
khó tiêu
đau rát vùng thượng vị
viêm cản trở hoạt động
ợ chua
đau bụng dữ dội
đau thượng vị
rát vùng thượng vị
cảm giác đau rát
chóng mặt
trào ngược
nôn
ợ hơi",khó chịu dạ dày chỉ diễn,kéo dài từ một tuần,K29.3,Viêm nông niêm mạc dạ dày mãn tính,0.6803
viêm xương sọ,"về mặt lâm sàng, viêm xương sọ điển hình biểu hiện các dấu hiệu và triệu chứng của viêm tai ngoài hoặc nhiễm trùng xương thái dương khác. cả hai dạng điển hình và không điển hình đều có thể gây ra các triệu chứng không đặc hiệu bao gồm đau đầu, sốt, tiến triển thành bệnh lý thần kinh sọ não, viêm màng não. (3) bệnh viêm xương sọ có thể được phân loại là điển hình do nhiễm trùng đồng thời ở xương thái dương hoặc không điển hình trung tâm do nhiễm trùng trực tiếp ở xương chẩm xương bướm. bệnh lý này biểu hiện rất nhiều triệu chứng như đau đầu, liệt dây thần kinh sọ, viêm màng não, tăng áp lực nội sọ, áp xe nội sọ, huyết khối tĩnh mạch và hiếm khi kèm theo tai biến mạch máu não. các triệu chứng có thể bộc phát cả khi bệnh khởi phát và đang tiến triển.","đau đầu
liệt dây thần kinh sọ
viêm màng não
tăng áp lực nội sọ","viêm xương sọ điển hình biểu
viêm tai ngoài hoặc nhiễm trùng
nhiễm trùng trực tiếp ở xương
nhiễm trùng đồng thời ở xương",không có,M89.0,Viêm màng não và viêm xương sọ khác,0.6089
viễn thị,"người bệnh viễn thị có thể không nhận thấy vấn đề gì về tầm nhìn của mình. nhưng nếu cơ mắt cần làm việc nhiều hơn để người bệnh nhìn thấy được sẽ xuất hiện các triệu chứng viễn thị ở mắt như: nhìn mờ, đặc biệt những vật ở gần. khó nhìn hơn vào ban đêm. mỏi mắt (bao gồm nóng rát và đau nhức trong hoặc xung quanh mắt). khó đọc, nheo mắt khi đọc. biến chứng mắt viễn thị lác mắt nhược thị","nhìn mờ
khó nhìn vào ban đêm
mỏi mắt
rát mắt
đau nhức mắt",Không có,ban đêm,H52.0,Viễn thị,1.0
võng mạc tiểu đường,"người bị bệnh võng mạc tiểu đường thường không có dấu hiệu bất thường trong giai đoạn đầu. khi bệnh tiến triển nguy hiểm hơn mới thấy rõ các triệu chứng của nó bao gồm: nhìn mờ. nhìn thấy những vùng sáng hoặc tối. khó nhìn vào ban đêm. thấy màu sắc mờ hoặc nhòe. tầm nhìn bị thu hẹp. nếu thấy các dấu hiệu bất thường ở mắt, người bệnh tiểu đường cần đến bệnh viện tâm anh để được kiểm tra và điều trị kịp thời.","mờ
nhòe
tầm nhìn bị thu hẹp",khó nhìn vào ban đêm,không có,H34,Tắc mạch võng mạc,0.6534
vòng thắt mạch máu,"vòng thắt mạch máu có thể không gây ra triệu chứng với một số trường hợp hoặc đôi khi các triệu chứng không được phát hiện cho đến khi trẻ trưởng thành. các triệu chứng phổ biến của vòng mạch máu có thể bao gồm: ho: ho dai dẳng, đặc biệt là khi nằm xuống hoặc sau khi ăn. nhiễm trùng đường hô hấp: các nhiễm trùng đường hô hấp tái diễn có thể gặp như viêm phế quản hoặc viêm phổi. thở khò khè, thở rít: thường xuyên bị khó thở, khò khè hoặc thở rít. khó ăn và nuốt: trẻ gặp khó khăn khi ăn uống, có cảm giác như nghẹn hoặc không nuốt trôi. chậm lớn: trẻ tăng trưởng chậm, không phát triển như bình thường. nôn mửa: nôn mửa thường xuyên, đặc biệt là sau khi ăn. trào ngược dạ dày thực quản: bị trào ngược dạ dày thực quản, bao gồm ợ nóng và nôn mửa. da xanh tím: da xanh tím, đặc biệt là ở môi và ngón tay, do thiếu oxy. một số trẻ sinh ra có vòng thắt mạch máu có thể kèm theo các vấn đề tim bẩm sinh khác. triệu chứng cụ thể còn phụ thuộc vào các vấn đề tim mạch đi kèm.","ho dai dẳng
nhiễm trùng đường hô hấp
viêm phế quản
viêm phổi
thở khò khè
thở rít
khó ăn và nuốt
trầm trọng
chậm lớn
nôn mửa
trào ngược dạ dày thực quản
da xanh tím",nghẹn hoặc không nuốt trôi,"thường xuyên, đôi khi",S15.7,Tổn thương nhiều mạch máu vùng cổ,0.5732
vô sinh,"1. ở nam giới suy giảm khả năng sản xuất tinh trùng. bìu bị căng, sưng và đau. rối loạn chức năng tình dục. dương vật bị đau, có khi chảy mủ có màu xanh hay vàng. rụng tóc, béo phì, da bị nhăn nheo, khô. cơ thể ra nhiều mồ hôi, thường xuyên bị stress và lo âu. vô sinh nam thường không có triệu chứng rõ ràng. một số nam giới có vấn đề về khả năng sinh sản vẫn có thể sinh hoạt và xuất tinh bình thường. vấn đề về chất lượng và số lượng tinh trùng cũng không thể nhận biết được bằng mắt thường. vì thế, kiểm tra y tế là điều vô cùng cần thiết để xác định chính xác bạn có bị vô sinh hay không. 2. ở nữ giới triệu chứng vô sinh ở nữ giới là không có khả năng mang thai. một chu kỳ kinh nguyệt quá dài (35 ngày trở lên) hoặc quá ngắn (dưới 21 ngày), không đều hay không có, đều ảnh hưởng tới quá trình rụng trứng. người vợ cần đến gặp bác sĩ chuyên khoa về sinh sản khi đã cố gắng mang thai ít nhất 1 năm nhưng không có dấu hiệu mang thai hay có các dấu hiệu vô sinh ở nữ giới. để từ đó, bác sĩ có thể đưa ra biện pháp can thiệp phù hợp, nâng cao khả năng có con. các dấu hiệu vô sinh thường gặp ở nữ giới gồm: nữ giới trên 35 tuổi, đã cố gắng mang thai trong vòng 6 tháng hoặc lâu hơn 6 tháng. nữ giới trên 40 tuổi. có chu kỳ kinh nguyệt không đều hay không có kinh. mắc những vấn đề về sinh sản, trong đó có các vấn đề về hormone như lông mọc nhiều hơn bình thường, da nổi nhiều mụn trứng, tóc mỏng hơn, thay đổi ham muốn tình dục. được chẩn đoán mắc bệnh lạc nội mạc tử cung hay viêm vùng xương chậu. sảy thai nhiều lần. trải qua quá trình điều trị ung thư. chịu đau đớn trong khoảng thời gian dài như đau lưng, đau vùng xương chậu, chuột rút","sưng bìu
đau bìu
rối loạn chức năng tình dục
đau dương vật
chảy mủ
rụng tóc
béo phì
da nhăn nheo khô
ra nhiều mồ hôi
stress
lo âu
đau lưng
đau vùng xương chậu
sảy thai nhiều lần
chữa ung thư
chu kỳ kinh nguyệt dài
chu kỳ kinh nguyệt ngắn
chu kỳ kinh nguyệt không đều
da nổi nhiều mụn trứng
ham muốn tình dục thay đổi
nổi nhiều mụn trứng
thay đổi ham muốn tình dục
viêm vùng xương chậu
suy giảm khả năng sinh sản
không có triệu chứng rõ ràng
không có khả năng mang thai
không có kinh
không có dấu hiệu mang thai
không có dấu hiệu vô sinh",Không có,không có,N46,Vô sinh nam,0.7457
vôi hóa tuyến vú,"vôi hóa tuyến vú thường không gây triệu chứng, kích thước quá nhỏ nên không thể cảm nhận khi khám vú. người bệnh chỉ có thể biết mình có vôi hóa khi chụp nhũ ảnh định kỳ.",Không có,không biết mình có vôi hóa,không có,M61,Vôi hóa và cốt hóa cơ,0.5344
vôi hóa xương,"tu y theo tư ng vi tri hi nh tha nh, vôi ho a xương se xuâ t hiê n vơ i như ng triê u chư ng kha c nhau, cu thê như sau: vôi xương xuâ t hiê n bên trong khơ p hoă c nă m sâu trong mô: ngươ i bê nh se râ t kho nhâ n thâ y triê u chư ng ro rê t. vôi ho a xương hi nh tha nh gâ n da: bê mă t da xuâ t hiê n ca c vê t sưng nho . vôi ho a xương pha t triê n ơ vai: ca nh tay kho cư đô ng bi nh thươ ng do đau, pha m vi cư đô ng bi ha n chê . vôi ho a cô t sô ng: dây thâ n kinh cô t sô ng bi che n e p, gây tê hoă c đau ca nh tay, chân hoă c ca c vu ng kha trên cơ thê . nê u ca c gai mo c va o sâu bên trong co n co thê dâ n đê n he p ô ng sô ng, gây kho khăn cho viê c đư ng thă ng va đi la i. vôi ho a pha t triê n ơ đâ u gô i: ngươ i bê nh ca m thâ y kho khăn khi thư c hiê n ca c cư đô ng bi nh thươ ng như di chuyê n lên xuô ng câ u thang, ra va o xe ô tô vôi ho a pha t triê n ơ go t chân: ngươ i bê nh ca m thâ y kho khăn khi cha m đâ t hoă c đi la i. vôi ho a pha t triê n ơ cô t sô ng cô : ti nh tra ng na y khiê n đô ng ma ch hoă c ti nh ma ch bi che n e p, lưu lươ ng ma u đê n na o bi ha n chê , ngoa i ra khi qua n cu ng co thê bi đe lên gây ra hiê n tươ ng kho nuô t.","u đê n na o bi
ho
sưng nho
u chư ng ro rê t
u ca c gai mo c
tê đau ca nh
u thang
đau ca nh tay
u gô i
u chư ng kha c nhau",Không có,không có,M61,Vôi hóa và cốt hóa cơ,0.6709
vỡ mạch máu não,"để nhận biết trường hợp người bệnh bị vỡ phình mạch máu não, có thể dựa vào các dấu hiệu sau đây: (2) cơn đau đầu xuất hiện đột ngột và dữ dội, không thuyên giảm dù có sử dụng thuốc giảm đau. xuất hiện hiện tượng tay chân co giật yếu liệt tứ chi, thậm chí liệt nửa người tê bì chân tay cứng cổ và gáy buồn nôn, ói mửa thị lực suy giảm, mắt nhạy cảm hơn với ánh sáng, có hiện tượng nhìn mờ hoặc nhìn đôi nói khó, rối loạn ngôn ngữ khó nuốt choáng váng, chóng mặt và mất thăng bằng mất ý thức, lú lẫn, hôn mê tử vong các triệu chứng vỡ mạch máu não gần như tương tự với triệu chứng của một người bệnh bị đột quỵ bởi vỡ mạch máu não là một trong những nguyên nhân gây nên đột quỵ.","liệt nửa người
tê bì chân tay
cứng cổ và gáy
buồn nôn
choáng váng
chóng mặt
mất thăng bằng
lú lẫn
hôn mê
nôn
rối loạn ngôn ngữ
khó nuốt
mờ hoặc nhìn đôi
nói khó","giảm dù có sử dụng thuốc
giảm đau",đột ngột,I77.2,Vỡ động mạch não,0.7625
vỡ túi mật,"vỡ túi mật thường gây ra các triệu chứng điển hình sau đây: buồn nôn, ói mửa đau nhói ở bên hạ sườn phải vàng da, vàng mắt sốt khi nhận thấy những biểu hiện đáng lo ngại này, người bệnh nên đi khám bác sĩ sớm để được chẩn đoán nguyên nhân chính xác, từ đó áp dụng phương pháp điều trị hiệu quả.","buồn nôn
óe mửa
đau nhói
vàng da
vàng mắt
sốt",Không có,không có,K82.2,Thủng túi mật,0.8074
vỡ túi ngực,"người bệnh có thể nhận biết túi ngực vỡ nhờ những dấu hiệu sau đây trên tuyê n vu , thươ ng la mô t bên: đau, nhức hoặc sưng. thay đổi về kích thước hoặc hình dạng. cục u trong vú. có chỗ vú bị cứng lên. túi ngực có thể vỡ bất cứ lúc nào. vỡ túi ngực mà không gây bất kỳ triệu chứng nào được gọi là vỡ thầm lặng . vỡ túi ngực thầm lặng không làm thay đổi hình dáng bầu ngực nên khó phát hiện vết nứt. chụp cộng hưởng từ (mri) là phương pháp hiệu quả giúp phát hiện tình trạng này.","đau
nhức
sưng
cứng lên",khó phát hiện vết nứt,không có,I71.1,Phình động mạch chủ ngực vỡ,0.7084
